state1_1,state1_2,state1_3,state1_4,state2_1,state2_2,state2_3,state2_4,state3_1,state3_2,state3_3,state3_4
0.9583,0.9583,0.9583,0.9583,0.919968,0.919968,0.919968,0.919968,0.843304,0.843304,0.843304,0.843304
0.9458,0.9458,0.9458,0.9458,0.907968,0.907968,0.907968,0.907968,0.832304,0.832304,0.832304,0.832304
0.9375,0.9375,0.9375,0.9375,0.9,0.9,0.9,0.9,0.825,0.825,0.825,0.825
0.9333,0.9333,0.9333,0.9333,0.895968,0.895968,0.895968,0.895968,0.821304,0.821304,0.821304,0.821304
0.925,0.925,0.925,0.925,0.888,0.888,0.888,0.888,0.814,0.814,0.814,0.814
0.9208,0.9208,0.9208,0.9208,0.883968,0.883968,0.883968,0.883968,0.810304,0.810304,0.810304,0.810304
0.9208,0.9208,0.9208,0.9208,0.883968,0.883968,0.883968,0.883968,0.810304,0.810304,0.810304,0.810304
0.9208,0.9208,0.9208,0.9208,0.883968,0.883968,0.883968,0.883968,0.810304,0.810304,0.810304,0.810304
0.9167,0.9167,0.9167,0.9167,0.880032,0.880032,0.880032,0.880032,0.806696,0.806696,0.806696,0.806696
0.9082,0.9082,0.9082,0.9082,0.871872,0.871872,0.871872,0.871872,0.799216,0.799216,0.799216,0.799216
0.904,0.904,0.904,0.904,0.86784,0.86784,0.86784,0.86784,0.79552,0.79552,0.79552,0.79552
0.904,0.904,0.904,0.904,0.86784,0.86784,0.86784,0.86784,0.79552,0.79552,0.79552,0.79552